UniqueID,Source,RSS feed URLs (where available),Type,Tags,Associated Twitter Handle,Associated Publisher,Name,Text aliases
1,@Marianhouk,,Twitter Handle,Twitter Journalists,,,Marian Houk,Marian Houk
2,@calcalist,,Twitter Handle,Israeli|Hebrew|Financial,,,Calcalist,
3,@debkafile,,Twitter Handle,Israeli|English|Hawkish|Security,,,Debka File - English,
3,@debka_english,,Twitter Handle,Israeli|English|Hawkish|Security,,,Debka File - English,
