id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,
8.28396E+17,null,https://twitter.com/jmartNYT/status/828395560038178816,jmartnyt,null,,null,,null,America's expanding appetites are well-captured seeing Astrodome - once the 8th Wonder! - side by side w NRG (or whatev corp name it is),twitter,2017-02-06,null,null
8.28323E+17,null,https://twitter.com/BenHoffmanNYT/status/828323198492168192,benhoffmannyt,null,,null,,null,The elevator at NRG only being able to hold seven people at a time is a little troubling.,twitter,2017-02-05,null,null
8.2832E+17,null,https://twitter.com/benshpigel/status/828320328401219586,benshpigel,null,,null,,null,Pretty even split so far between Patriots and Falcons fans. @ NRG Stadium  https://t.co/nomQhh5kIn,twitter,2017-02-05,null,null
8.27905E+17,null,https://twitter.com/ronlieber/status/827904803330260998,ronlieber,null,,null,,null,"Post-Super Bowl private jet runway backup was ""one of the most horrifying things you’ve ever seen"" said NRG ex-ceo.  https://t.co/olASYhbJA2",twitter,2017-02-04,null,null
8.27286E+17,null,https://twitter.com/IKershner/status/827286499213209600,ikershner,null,,null,,null,"So maybe the ""new era"" hailed by Netanyahu Bennett and Lieberman will be shorter than they thought: Jerusalem Post  https://t.co/lLqV6gmHT0",twitter,2017-02-02,null,null
8.18854E+17,null,https://twitter.com/jswatz/status/818853536788267012,jswatz,null,,null,,null,@johnupton I had to cut it out of the story but you can get the info from NRG and decide for yourself whether it's valid.,twitter,2017-01-10,null,null
7.70217E+17,null,https://twitter.com/charlie_savage/status/770216819218976770,charlie_savage,null,,null,,null,"Long read in The Jerusalem Post on Obama  the US vs Israeli wars on terrorism and ""Power Wars""   https://t.co/tH6DICIMcj",twitter,2016-08-29,null,null
7.01176E+17,null,https://twitter.com/powellnyt/status/701176324346540032,powellnyt,null,,null,,null,@overthekill That is not case. Look at Germany with ithriving alt energy sector. In this country enormous growth. NRG was big leader,twitter,2016-02-20,null,null
6.74625E+17,null,https://twitter.com/arappeport/status/674624898388635648,arappeport,null,,null,,null,Such a visit will set the whole region on fire. Trump planning Temple Mount visit - Jerusalem Post  -  https://t.co/9ZcKOWSReB f,twitter,2015-12-09,null,null
5.60847E+17,null,https://twitter.com/NYTimesCohen/status/560847302978699264,nytimescohen,null,,null,,null,"Jerusalem Post on ""The Girl from Human Street."" Book Review: Telling his own story  http://t.co/aVMbKq6q7p",twitter,2015-01-29,null,null
