id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,https://www.nytimes.com/,
121939152739639296,null,https://twitter.com/zwoolfe/status/121939152739639296,zwoolfe,null,,null,,null,huh. "The general manager of the Met Peter Gelb said in an exclusive interview with Haaretz"  http://t.co/OmpivPe1,twitter,2011-10-06,null,null,
1397772363593302017,null,https://twitter.com/halbfinger/status/1397772363593302017,halbfinger,null,,null,,null,Haaretz picks up Times package profiling children killed in the Israel-Gaza war.,twitter,2021-05-27,null,null,
1393341784214982657,null,https://twitter.com/halbfinger/status/1393341784214982657,halbfinger,null,,null,,null,“It’s a very dangerous place for the I.D.F. to be suspected of misleading the international press” said Amos Harel of Haaretz. “Foreign journalists are on both sides of the fence and it could be dangerous for them if they’re suspected of being used.”  https://t.co/zpMSrBiPVq,twitter,2021-05-14,null,null,
1344577598106578944,null,https://twitter.com/halbfinger/status/1344577598106578944,halbfinger,null,,null,,null,Nudniks Koufax and a cri de coeur: ⁦@ChemiShalev⁩’s farewell to Haaretz readers is a delight and a warning siren. A vital voice on the U.S.-Israeli axis is going quiet hopefully not for long.  https://t.co/bhgxktR7Va,twitter,2020-12-31,null,null,
1208281483972091907,null,https://twitter.com/halbfinger/status/1208281483972091907,halbfinger,null,,null,,null,Must read: ⁦@noa_landau of Haaretz shredding Israel’s government over its stance toward the ⁦@IntlCrimCourt⁩.    https://t.co/8HhuTBSQWh,twitter,2019-12-21,null,null,
1103352800019472384,null,https://twitter.com/halbfinger/status/1103352800019472384,halbfinger,null,,null,,null,By a one-vote margin racist Israeli party Otzma Yehudit is allowed to run in April 9 elections over objections of atty genl. Left wing to appeal to Supreme Court. Haaretz story:  https://t.co/uruY9Nr17g Our piece with the background:  https://t.co/KxfAoZ0kaH,twitter,2019-03-06,null,null,
1102948637477347329,null,https://twitter.com/halbfinger/status/1102948637477347329,halbfinger,null,,null,,null,On Monday Haaretz fact-checked ( https://t.co/SPGfQ90dKp) the PM’s claim and rightly called out his lie — which Likud’s ad ( https://t.co/OIAgbq7ARL) parrots: The ceremony held a year after the war was aimed at reconciliation between Israelis and Palestinians...//4,twitter,2019-03-05,null,null,
1020213085049688064,null,https://twitter.com/halbfinger/status/1020213085049688064,halbfinger,null,,null,,null,Strong words from Haaretz columnist @bradleyburston on the news in Israel this week: "This then is Netanyahu's legacy: He has taken the Start Up Nation Israel and turned it into the Shithole Nation-State.",twitter,2018-07-20,null,null,
981515283104923649,null,https://twitter.com/halbfinger/status/981515283104923649,halbfinger,null,,null,,null,Bracing for Friday in Gaza: Israeli human rights org B'Tselem to run ads in Haaretz/Maariv — "Sorry Commander I cannot shoot" — urging IDF soldiers not to shoot unarmed demonstrators at border fence calling such orders "manifestly illegal.",twitter,2018-04-04,null,null,
204567151405838337,null,https://twitter.com/ThomasErdbrink/status/204567151405838337,thomaserdbrink,null,,null,,null,Haaretz piece outlines the following deal: IRI ships 20 percent uranium out West supplies needed fuel. EU Oil boycot NOT postponed,twitter,2012-05-21,null,null,
204566543068184576,null,https://twitter.com/ThomasErdbrink/status/204566543068184576,thomaserdbrink,null,,null,,null,Haaretz: Israel would "allow" a few hundred kilograms of 3.5-percent enriched uranium to remain in country.Doubt IRI agrees with that,twitter,2012-05-21,null,null,
204565906217639937,null,https://twitter.com/ThomasErdbrink/status/204565906217639937,thomaserdbrink,null,,null,,null,Haaretz saying Israeli's now also on board for allowing 5% enrichment for #Iran.  http://t.co/fuhF7jVS,twitter,2012-05-21,null,null,
1219325548205244416,null,https://twitter.com/bdentonphoto/status/1219325548205244416,bdentonphoto,null,,null,,null,@Marwa__Osman @nicfrakesjourno @haaretzcom He works for @Reuters. Haaretz was carrying their live feed. It’s not rocket science or uncommon. Ma journalist like you should know better,twitter,2020-01-20,null,null,
819729535600050177,null,https://twitter.com/liamstack/status/819729535600050177,liamstack,null,,null,,null,Stunning Haaretz report: US intel officials warn Israel info it shares with Trump admin could be sent to Russia/Iran  https://t.co/nXx94jKEfQ,twitter,2017-01-13,null,null,
799782477615218688,null,https://twitter.com/liamstack/status/799782477615218688,liamstack,null,,null,,null,US correspondent for Ha'aretz &gt;&gt;  https://t.co/Z1668SzDLC,twitter,2016-11-19,null,null,
655961678685847552,null,https://twitter.com/liamstack/status/655961678685847552,liamstack,null,,null,,null,Ha'aretz says he was shot by a security guard then kicked and beaten by the crowd. They thought he was a terrorist.  http://t.co/xhSFO5ghvD,twitter,2015-10-19,null,null,
534826937877688320,null,https://twitter.com/liamstack/status/534826937877688320,liamstack,null,,null,,null,The police officer hurt in the Jerusalem synagogue attack has died from his wounds says Ha'aretz  http://t.co/sMPsgOWdoH,twitter,2014-11-18,null,null,
528264649200762880,null,https://twitter.com/liamstack/status/528264649200762880,liamstack,null,,null,,null,Israel cartoon highlights troubled ties with US   http://t.co/OC1QMg0AgF On the Ha'aretz cartoon showing Netanyahu flying plane into the WTC,twitter,2014-10-31,null,null,
527684771225542656,null,https://twitter.com/liamstack/status/527684771225542656,liamstack,null,,null,,null,Wow that's loaded.From a major Israeli paper RT @haaretzcom: Haaretz Daily Cartoon - 30/10/14  http://t.co/1ZRmoI74mJ  http://t.co/oDI4hP0Xza,twitter,2014-10-30,null,null,
496782398600650755,null,https://twitter.com/liamstack/status/496782398600650755,liamstack,null,,null,,null,"There is only one major news site that both pro-Israelis and pro-Palestinians read"  http://t.co/c4QU2abzkb via @qz It's Haaretz.,twitter,2014-08-05,null,null,
492150595189362688,null,https://twitter.com/liamstack/status/492150595189362688,liamstack,null,,null,,null,Haaretz editorial: "When the fighting ends Jews and Arabs will have to live together again"  http://t.co/FUSgCphHvG,twitter,2014-07-24,null,null,
492150264816627713,null,https://twitter.com/liamstack/status/492150264816627713,liamstack,null,,null,,null,Haaretz ed: "we are witnessing concrete attempts to hurt Arab citizens &amp; give them a feeling they don’t belong here"  http://t.co/FUSgCphHvG,twitter,2014-07-24,null,null,
492150063657779204,null,https://twitter.com/liamstack/status/492150063657779204,liamstack,null,,null,,null,Haaretz editorial: "Don't let war tear Israel's Jews Arabs further apart"  http://t.co/FUSgCphHvG,twitter,2014-07-24,null,null,
268778312023830528,null,https://twitter.com/liamstack/status/268778312023830528,liamstack,null,,null,,null,That is potentially major RT @ibnezra: Explosion in house of Hamas cofounder Mahmoud al-Zahar in Gaza (Haaretz),twitter,2012-11-14,null,null,
114086191191687168,null,https://twitter.com/liamstack/status/114086191191687168,liamstack,null,,null,,null,Ha'aretz reports that #israel orders evacuation of #jordan embassy. Does israel currently have any diplo staff in any mideast country?,twitter,2011-09-14,null,null,
825810893523054592,null,https://twitter.com/rodnordland/status/825810893523054592,rodnordland,null,,null,,null,Jared Kushner's forbears banned from the US by anti-Jewish immigration policies. Shame says Haaretz.  https://t.co/heeNuncFdt,twitter,2017-01-29,null,null,
690641211846213634,null,https://twitter.com/michaelroston/status/690641211846213634,michaelroston,null,,null,,null,Haaretz is where I turn for all my NBA news  https://t.co/U67G1A9hFo,twitter,2016-01-22,null,null,
486332031115464704,null,https://twitter.com/michaelroston/status/486332031115464704,michaelroston,null,,null,,null,Interesting how much Netanyahu’s government is an after-thought in Obama’s Haaretz column  http://t.co/pk6w87gaxg,twitter,2014-07-08,null,null,
338336444127006720,null,https://twitter.com/michaelroston/status/338336444127006720,michaelroston,null,,null,,null,@ClairDogg BBC prob best all around. CBC Haaretz Times of India good for those countries. Spiegel &amp; Univision good but alerts not English,twitter,2013-05-25,null,null,
270522276129157120,null,https://twitter.com/michaelroston/status/270522276129157120,michaelroston,null,,null,,null,Haaretz calls Gaza air strike that killed 12 an "error"  http://t.co/D0KcO1EU,twitter,2012-11-19,null,null,
270206823523549184,null,https://twitter.com/michaelroston/status/270206823523549184,michaelroston,null,,null,,null,A timeline of conflict-related events runs down the edge of Haaretz's broadsheet  http://t.co/ozXRaxl2,twitter,2012-11-18,null,null,
265190256507248642,null,https://twitter.com/michaelroston/status/265190256507248642,michaelroston,null,,null,,null,@gilgul it might just be the Ha'aretz summary of someone else's story but some of the details are hard to follow,twitter,2012-11-04,null,null,
251653599900348418,null,https://twitter.com/michaelroston/status/251653599900348418,michaelroston,null,,null,,null,"Netanyahu draws his red line" reads the overline on English Haaretz  http://t.co/37896XyR,twitter,2012-09-28,null,null,
245173325498839040,null,https://twitter.com/michaelroston/status/245173325498839040,michaelroston,null,,null,,null,I love getting a special Rosh Hashanah subscription offer from Haaretz. Wish it told me it was a mitzvah to subscribe.,twitter,2012-09-10,null,null,
