id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,https://www.nytimes.com/,
17359247922,null,https://twitter.com/HannaIngber/status/17359247922,hannaingber,null,,null,,null,RT @Pulitzercenter From Hell Harare is a local call: Migrants refugees and xenophobic violence in #SouthAfrica  http://bit.ly/ao3PBu,twitter,2010-06-29,null,null,
1072142096855957504,null,https://twitter.com/JesseDrucker/status/1072142096855957504,jessedrucker,null,,null,,null,Israeli gov't is trying to defund +972 Magazine:  https://t.co/aoDNW1ZSAM,twitter,2018-12-10,null,null,
488231442552750080,null,https://twitter.com/CeylanWrites/status/488231442552750080,ceylanwrites,null,,null,,null,Nobody should be a number: Names of those killed in Gaza | +972 Magazine  http://t.co/fyIyiQGQK5,twitter,2014-07-13,null,null,
