UniqueID,Source,RSS feed URLs (where available),Type,Tags,Associated Twitter Handle,Associated Publisher,Name,Text aliases
2,http://calcalist.co.il/,,News Source,Israeli|Hebrew|Financial,@calcalist,Yediot,Calcalist,Calcalist
3,https://www.debka.com/,,News Source,Israeli|English|Hawkish|Security,@debkafile|@debka_english,Debka File,Debka File - English,Debka File
