UniqueID,Source,RSS feed URLs (where available),Type,Tags,Location,Associated Twitter Handle,Name,Text aliases,Associated Publisher
360,http://ynet.com/,,News Source,Israeli|Hebrew|Centrist|Current-Affairs,Israel,@ynetalerts,Ynet - Hebrew,"""Ynet""|""Yediot""|""Yedioth""|""ynetnews""",Ynet - Hebrew
361,http://shmuelrosner.com,,News Source,Israeli|English|Centrist|Current-Affairs,Israel,@rosnersdomain,Shmuel Rosner,"""Shmuel Rosner""",Shmuel Rosner
361,Shmuel Rosner,,News Source,Israeli|English|Centrist|Current-Affairs,Israel,,Shmuel Rosner,,
362,http://gpoeng.gov.il,,News Source,Israeli|English|Official,Israel,@GPOIsrael,Israeli Government Press Office,"""Israeli Government Press Office""",Israeli Government Press Office
362,Israeli Government Press Office,,News Source,Israeli|English|Official,Israel,,Israeli Government Press Office,,
363,Israeli Government Press Office,,News Source,Israeli|Hebrew|Official,Israel,,Israeli Government Press Office,,
363,http://gpo.gov.il,,News Source,Israeli|Hebrew|Official,Israel,@GPOIsrael,Israeli Government Press Office,"""Israeli Government Press Office""",Israeli Government Press Office
364,Nocamels,,News Source,Israeli|English|Innovation-Tech,Israel,,Nocamels ,,
364,http://nocamels.com,,News Source,Israeli|English|Innovation-Tech,Israel,@NoCamels,Nocamels ,"""Nocamels """,Nocamels
365,Ma'an News Agency,,News Source,Palestinian|English|Current-Affairs,Palestine,,Ma'an News Agency,,
365,http://www.maannews.com/,,News Source,Palestinian|English|Current-Affairs,Palestine,@MaanNewsAgency,Ma'an News Agency,"""Ma'an News Agency""|""Ma'an""",Ma'an News Agency
366,Palestine Chronicle,,News Source,Palestinian|English|Current-Affairs,Palestine,,Palestine Chronicle,,
366,http://palestinechronicle.com/,,News Source,Palestinian|English|Current-Affairs,Palestine,@PalestineChron,Palestine Chronicle,"""Palestine Chronicle""",Palestine Chronicle
367,Palestine News Network,,News Source,Palestinian|English|Current-Affairs,Palestine,,Palestine News Network,,
367,http://english.pnn.ps/,,News Source,Palestinian|English|Current-Affairs,Palestine,@pnnenglish,Palestine News Network,"""Palestine News Network""",Palestine News Network
368,http://english.wafa.ps/,,News Source,Palestinian|English|Official|Current-Affairs,Palestine,@WAFANewsEnglish,Wafa (Palestinian News and Info Agency) - English,"""Wafa""|""Palestinian News and Info Agency""",Wafa (Palestinian News and Information)
368,Wafa (Palestinian News and Information),,News Source,Palestinian|English|Official|Current-Affairs,Palestine,,Wafa (Palestinian News and Info Agency) - English,,
369,Wafa (Palestinian News and Information),,News Source,Palestinian|Arabic|Official|Current-Affairs,Palestine,,Wafa (Palestinian News and Info Agency) - Arabic,,
369,https://www.wafa.ps/,,News Source,Palestinian|Arabic|Official|Current-Affairs,Palestine,@WAFA_PS,Wafa (Palestinian News and Info Agency) - Arabic,"""Wafa""|""Palestinian News and Info Agency""",Wafa (Palestinian News and Information)
