UniqueID,Source,RSS feed URLs (where available),Type,Tags,Location,Associated Twitter Handle,Name,Text aliases,Associated Publisher
178,@raedjarrar,,Twitter Handle,Twitter Journalists,USA,,Raed Jarrar,"""Raed Jarrar""",
179,@natansachs,,Twitter Handle,Twitter Journalists,USA,,Natan Sachs,"""Natan Sachs""",
180,@AnarchoZionist,,Twitter Handle,Twitter Journalists,,,Anarcho-Zionist,"""Anarcho-Zionist""",
181,@canarymission,,Twitter Handle,Twitter Journalists,,,Canary Mission,"""Canary Mission""",
182,@DrMikeH49,,Twitter Handle,Twitter Journalists,USA,,Mike Harris,"""Mike Harris""",
183,@SFV4I,,Twitter Handle,Twitter Journalists,USA,,SFV4I,"""SFV4I""",
184,@ofer_n,,Twitter Handle,Twitter Journalists,Israel,,Ofer Neiman,"""Ofer Neiman""",
185,@DrRonMalka,,Twitter Handle,Twitter Journalists,Israel,,Ron Malka,"""Ron Malka""",
186,@DanAlluf,,Twitter Handle,Twitter Journalists,India,,Dan Alluf,"""Dan Alluf""",
187,@AdvaVilchinski,,Twitter Handle,Twitter Journalists,India,,Adva Vilchinski,"""Adva Vilchinski""",
188,@MayaKadosh,,Twitter Handle,Twitter Journalists,India,,Maya Kadosh,"""Maya Kadosh""",
189,@Avigailcjm,,Twitter Handle,Twitter Journalists,India,,Avigail C.J. Spira,"""Avigail C.J. Spira""",
190,@IsraelinIndia,,Twitter Handle,Twitter Journalists,India,,Israel in India,"""Israel in India""",
191,@israelinMumbai,,Twitter Handle,Twitter Journalists,India,,Israel in Mumbai,"""Israel in Mumbai""",
192,@IsraelBangalore,,Twitter Handle,Twitter Journalists,India,,Israel in Bengaluru,"""Israel in Bengaluru""",
193,@DanaKursh,,Twitter Handle,Twitter Journalists,India,,dana kursh,"""dana kursh""",
194,@Yaakov_FINKLSTN,,Twitter Handle,Twitter Journalists,India,,Yaakov Finkelstein,"""Yaakov Finkelstein""",
195,@HananyaNaftali,,Twitter Handle,Twitter Journalists,Israel,,Hananya Naftali,"""Hananya Naftali""",
196,@StandWithUs,,Twitter Handle,Twitter Journalists,Israel,,StandWithUs,"""StandWithUs""",
197,@WeBelieveIsrael,,Twitter Handle,Twitter Journalists,UK,,We Believe in Israel,"""We Believe in Israel""",
198,@ZionistFed,,Twitter Handle,Twitter Journalists,UK,,Zionist Federation,"""Zionist Federation""",
199,@NorthWestFOI,,Twitter Handle,Twitter Journalists,UK,,NW Friends of Israel,"""NW Friends of Israel""",
200,@SussexFriends,,Twitter Handle,Twitter Journalists,England,,SussexFriendsIsrael,"""SussexFriendsIsrael""",
201,@israel_advocacy,,Twitter Handle,Twitter Journalists,,,Israel Advocacy Movement,"""Israel Advocacy Movement""",
